content.generic_counters.MulticastPacketsSent,@timestamp,content.generic_counters.LastDiscontinuityTime,content.generic_counters.MulticastPacketsReceived,content.generic_counters.ThrottledPacketsReceived,content.generic_counters.CRCErrors,content.generic_counters.PacketsReceived,content.generic_counters.LastDataTime,hostname,content.key.InterfaceName,content.generic_counters.BytesReceived,content.delta.BytesSent,content.generic_counters.BytesSent,content.generic_counters.OutputUnderruns,content.generic_counters.SecondsSinceLastClearCounters,content.generic_counters.OutputQueueDrops,content.generic_counters.SecondsSincePacketReceived,content.generic_counters.InputErrors,content.generic_counters.AvailabilityFlag,content.generic_counters.BroadcastPacketsSent,content.delta.BytesReceived,content.generic_counters.InputDrops,content.generic_counters.OutputDrops,content.generic_counters.OutputBuffersSwappedOut,content.generic_counters.Resets,content.generic_counters.InputAborts,content.generic_counters.GiantPacketsReceived,content.generic_counters.BroadcastPacketsReceived,content.delta.PacketsReceived,content.generic_counters.UnknownProtocolPacketsReceived,content.generic_counters.FramingErrorsReceived,content.generic_counters.OutputBufferFailures,content.generic_counters.CarrierTransitions,content.generic_counters.RuntPacketsReceived,content.delta.PacketsSent,content.generic_counters.InputQueueDrops,content.generic_counters.InputOverruns,content.generic_counters.PacketsSent,content.generic_counters.SecondsSincePacketSent,content.generic_counters.OutputErrors,content.generic_counters.InputIgnoredPackets,content.generic_counters.Applique,content.generic_counters.ParityPacketsReceived
39899,2016-03-17T13:03:51.667Z,1458162490,7527,0,0,20245,1458219829,s0-r4,GigabitEthernet0/0/0/4,11109049,17842.0,32005631,0,0,0,2,0,0,1,6902.0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,22.0,0,0,39904,2,0,0,0,0
39874,2016-03-17T13:03:51.668Z,1458162490,7496,0,0,146056,1458219829,s0-r4,GigabitEthernet0/0/0/1,20357276,22580.0,41348148,0,0,0,2,0,0,2,9870.0,0,0,0,0,0,0,0,75.0,0,0,0,0,0,87.0,0,0,165818,2,0,0,0,0
1287,2016-03-17T13:04:21.731Z,1458162490,0,0,0,124059,1458219859,s0-r4,GigabitEthernet0/0/0/2,38362612,2260341280.0,4517046332709,0,0,0,0,0,0,2,18853.0,0,0,0,0,0,0,0,62.0,0,0,0,0,0,1494968.0,0,0,2987528384,0,0,0,0,0
17145,2016-03-17T13:04:24.718Z,1457449290,8663,0,0,7872929355,1458219858,s0-r3,GigabitEthernet0/0/0/4,11902115448932,22454.0,395070785,0,0,0,2,0,0,68611,2377212341.0,0,0,0,0,0,0,882,1572296.0,0,0,0,0,0,99.0,0,0,1130076,2,0,0,0,0
17152,2016-03-17T13:04:24.718Z,1457449290,14902,0,0,322155,1458219858,s0-r3,GigabitEthernet0/0/0/3,27896800,10128.0,20950082,0,0,0,2,0,0,2,10067.0,0,0,0,0,0,0,882,135.0,0,0,0,0,0,135.0,0,0,238355,2,0,0,0,0
2,2016-03-17T13:04:25.247Z,1458146084,1739,0,0,3119,1458219861,s0-r2,GigabitEthernet0/0/0/7,2469524,0.0,182,0,0,0,57719,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0,0,3,73765,0,0,0,0
2,2016-03-17T13:04:25.248Z,1458146084,1739,0,0,3119,1458219861,s0-r2,GigabitEthernet0/0/0/6,2469524,0.0,182,0,0,0,57719,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0,0,3,73765,0,0,0,0
424,2016-03-17T13:04:25.248Z,1458146084,2968,0,0,204995,1458219861,s0-r2,GigabitEthernet0/0/0/4,54921097,2384010211.0,5719890426513,0,0,0,0,0,0,2,22699.0,0,0,0,0,0,0,2,98.0,0,0,0,0,0,1576791.0,0,0,3783052818,0,0,0,0,0
1651,2016-03-17T13:04:25.248Z,1458146084,2969,0,0,12072,1458219861,s0-r2,GigabitEthernet0/0/0/2,3185482,196.0,733696,0,0,0,43,0,0,2,0.0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,1.0,0,0,8920,8,0,0,0,0
3462,2016-03-17T13:04:25.342Z,1458064748,4317,0,0,472524,1458219859,s0-r7,GigabitEthernet0/0/0/0,116039830,2382797705.0,11915326266634,0,0,0,0,0,0,1,22817.0,0,0,0,0,0,0,24,99.0,0,0,0,0,0,1575990.0,0,0,7880808375,0,0,0,0,0
2,2016-03-17T13:04:25.342Z,1458064748,1739,0,0,3122,1458219859,s0-r7,GigabitEthernet0/0/0/5,2469650,0.0,182,0,0,0,57723,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,155099,0,0,0,0
3461,2016-03-17T13:04:25.342Z,1458064748,4323,0,0,12037,1458219859,s0-r7,GigabitEthernet0/0/0/2,3418343,329.0,21068966,0,0,0,0,0,0,1,127.0,0,0,0,0,0,0,25,2.0,0,0,0,0,0,3.0,0,0,22210,0,0,0,0,0
3463,2016-03-17T13:04:25.342Z,1458064748,4317,0,0,11779,1458219859,s0-r7,GigabitEthernet0/0/0/1,3400871,251.0,961003,0,0,0,0,0,0,1,127.0,0,0,0,0,0,0,20,2.0,0,0,0,0,0,3.0,0,0,8706,0,0,0,0,0
17146,2016-03-17T13:05:25.113Z,1457449290,8664,0,0,7875894463,1458219918,s0-r3,GigabitEthernet0/0/0/4,11906598498175,23516.0,395116903,0,0,0,2,0,0,68611,2167339063.0,0,0,0,0,0,0,882,1433490.0,0,0,0,0,0,100.0,0,0,1130272,2,0,0,0,0
493397,2016-03-17T13:05:25.113Z,1457449290,90022,0,0,1586249,1458219918,s0-r3,GigabitEthernet0/0/0/2,460244642,32722.0,463704636,0,0,0,2,0,0,2,19937.0,0,0,0,0,0,0,887,210.0,0,0,0,0,0,221.0,0,0,1578612,2,0,0,0,0
2,2016-03-17T13:05:25.304Z,1458146084,1739,0,0,3119,1458219921,s0-r2,GigabitEthernet0/0/0/7,2469524,0.0,182,0,0,0,57779,0,0,1,0.0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,0,0,3,73825,0,0,0,0
425,2016-03-17T13:05:25.305Z,1458146084,2969,0,0,205190,1458219921,s0-r2,GigabitEthernet0/0/0/4,54966558,2375652025.0,5724650945920,0,0,0,0,0,0,2,22698.0,0,0,0,0,0,0,2,98.0,0,0,0,0,0,1571264.0,0,0,3786201438,0,0,0,0,0
3463,2016-03-17T13:05:25.342Z,1458064748,4324,0,0,12041,1458219919,s0-r7,GigabitEthernet0/0/0/2,3418734,447.0,21069413,0,0,0,0,0,0,1,200.0,0,0,0,0,0,0,25,3.0,0,0,0,0,0,4.0,0,0,22214,0,0,0,0,0
